,,yoshinari:CentreOfMass,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
92,0,-294.77,-722.445,936.409,-287.582733,1299.995361,1113.260986,-287.994293,1373.255005,1033.443115,-362.832489,1294.867065,1038.141235,-364.412384,1372.509399,1033.218262,-213.484604,1295.266479,1037.792358,-210.869827,1372.584229,1034.091797
93,0,-294.613,-722.457,936.419,-287.583099,1299.992676,1113.250244,-287.968445,1373.246338,1033.421875,-362.831512,1294.850342,1038.136353,-364.398315,1372.50293,1033.181763,-213.473236,1295.254639,1037.792114,-210.869781,1372.611938,1034.075439
94,0,-294.433,-722.461,936.424,-287.591125,1300.004517,1113.243164,-287.982422,1373.237793,1033.44519,-362.826019,1294.843872,1038.135498,-364.400787,1372.526855,1033.17627,-213.471146,1295.243896,1037.783325,-210.877548,1372.619141,1034.077393
95,0,-294.289,-722.419,936.44,-287.597931,1300.02002,1113.268555,-287.981903,1373.264282,1033.444092,-362.837097,1294.852295,1038.142944,-364.430084,1372.525879,1033.216187,-213.47934,1295.249878,1037.811401,-210.894073,1372.638184,1034.098511
96,0,-294.186,-722.366,936.424,-287.610077,1300.020142,1113.259644,-287.995667,1373.260498,1033.443237,-362.859497,1294.852905,1038.148804,-364.440491,1372.549194,1033.219238,-213.493286,1295.261963,1037.802124,-210.891968,1372.644531,1034.100708
97,0,-294.091,-722.31,936.385,-287.598633,1300.01355,1113.257324,-288.001251,1373.257324,1033.416504,-362.859344,1294.87146,1038.14917,-364.440155,1372.512573,1033.201782,-213.493179,1295.28479,1037.799805,-210.878006,1372.607178,1034.071777
98,0,-293.885,-722.293,936.318,-287.595795,1299.971924,1113.24939,-287.98056,1373.250732,1033.448975,-362.852997,1294.872437,1038.150635,-364.442078,1372.499878,1033.229858,-213.495178,1295.27356,1037.786133,-210.86795,1372.616577,1034.091309
99,0,-293.716,-722.314,936.317,-287.585663,1299.99353,1113.254639,-287.982544,1373.243408,1033.430054,-362.83725,1294.857178,1038.128052,-364.402313,1372.494995,1033.17981,-213.457245,1295.261108,1037.783325,-210.853256,1372.605957,1034.081421
100,0,-293.586,-722.359,936.362,-287.575531,1300.005615,1113.257446,-287.975159,1373.248779,1033.445801,-362.815613,1294.85083,1038.132568,-364.404999,1372.513306,1033.166382,-213.474899,1295.239746,1037.783325,-210.866516,1372.603638,1034.072876
101,0,-293.457,-722.351,936.365,-287.586945,1300.00708,1113.247314,-287.997772,1373.259766,1033.453369,-362.830383,1294.832886,1038.133545,-364.393188,1372.501709,1033.170288,-213.466507,1295.223755,1037.804565,-210.868195,1372.626221,1034.090576
102,0,-293.345,-722.328,936.365,-287.604736,1300.021118,1113.273682,-287.99353,1373.243408,1033.441895,-362.845337,1294.852661,1038.166138,-364.426361,1372.526978,1033.214478,-213.474365,1295.23999,1037.817139,-210.867905,1372.601929,1034.098999
