patient_id,type_id,trial_id,n_frames,n_partialout_head,n_partialout_foot,n_partialout_left,n_partialout_right,n_totalout,time_partialout_head,time_partialout_foot,time_partialout_left,time_partialout_right,time_totalout,csvpath
12,07,00,308,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_07_00__2023-10-22-17-12-55_2d.csv
12,08,00,277,0,0,23,0,0,0.0,0,4.080761909484863,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_08_00__2023-10-22-17-17-11_2d.csv
12,09,00,307,0,0,16,0,0,0.0,0,2.631195306777954,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_09_00__2023-10-22-17-19-34_2d.csv
12,10,00,387,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\12_10_00__2023-10-22-17-22-57_2d.csv
13,00,00,428,0,0,0,0,2,0.0,0,0.0,0.0,27.465379238128662,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\13_00_00__2023-10-23-13-32-00_2d.csv
13,01,00,335,0,0,1,0,1,0.0,0,0.0,0.0,12.34323000907898,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\13_01_00__2023-10-23-13-35-05_2d.csv
13,02,01,248,12,0,4,0,0,0.0,0,2.9146931171417236,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\13_02_01__2023-10-23-13-39-10_2d.csv
13,03,00,237,21,0,4,0,0,0.0,0,0.5017540454864502,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\13_03_00__2023-10-23-13-42-33_2d.csv
13,04,00,196,12,0,0,0,1,0.0,0,0.0,0.0,6.790405988693237,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\13_04_00__2023-10-23-13-45-58_2d.csv
13,05,00,577,6,0,1,0,1,0.0,0,0.0,0.0,16.022757053375244,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\13_05_00__2023-10-23-13-48-48_2d.csv
13,06,00,272,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\13_06_00__2023-10-23-13-52-13_2d.csv
13,07,00,281,0,0,15,0,0,0.0,0,3.6126670837402344,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\13_07_00__2023-10-23-13-56-06_2d.csv
