,sim_paths,exp_time,last_x,odom_paths,skeleton_paths
40,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_132440_06_03_00_kosuge\20231021_132443_od.csv,3443,7.321132321148486,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_07_00__2023-10-21-13-37-30.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_09_00__2023-10-21-12-01-51_skeleton.mp4
41,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_132731_06_04_00_kosuge\20231021_132733_od.csv,3521,7.346100313090106,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_08_00__2023-10-21-13-40-17.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\05_10_00__2023-10-21-12-05-09_skeleton.mp4
42,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_133119_06_05_00_kosuge\20231021_133122_od.csv,3457,7.248783718098579,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_09_00__2023-10-21-13-42-44.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\06_00_00__2023-10-21-13-14-24_skeleton.mp4
43,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_133446_06_06_00_kosuge\20231021_133450_od.csv,3463,7.207041837514024,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_10_00__2023-10-21-13-46-03.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\06_01_00__2023-10-21-13-17-14_skeleton.mp4
44,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_133741_06_07_00_kosuge\20231021_133744_od.csv,3354,7.264552555314614,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_00_00__2023-10-21-14-08-14.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\06_02_00__2023-10-21-13-20-39_skeleton.mp4
45,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_134028_06_08_00_kosuge\20231021_134030_od.csv,3332,7.309284864309123,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_01_00__2023-10-21-14-11-05.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\06_03_00__2023-10-21-13-24-16_skeleton.mp4
46,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_134311_06_09_00_kosuge\20231021_134313_od.csv,3191,7.343329882963568,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_02_00__2023-10-21-14-14-24.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\06_04_00__2023-10-21-13-27-10_skeleton.mp4
47,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_134622_06_10_00_kosuge\20231021_134625_od.csv,3234,7.336496195184445,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_03_00__2023-10-21-14-18-31.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\06_05_00__2023-10-21-13-31-09_skeleton.mp4
48,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_140829_07_00_00_saitou\20231021_140831_od.csv,3332,7.285617540747117,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_04_00__2023-10-21-14-21-43.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\06_06_00__2023-10-21-13-34-23_skeleton.mp4
49,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_141121_07_01_00_saitou\20231021_141123_od.csv,3392,7.2481557093918285,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_05_00__2023-10-21-14-25-09.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\06_07_00__2023-10-21-13-37-30_skeleton.mp4
