Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
199,,,,,,,,,,,,,,,,-1542.135132,57.902767,1142.355591
200,,,,,,,,,,,,,,,,-1542.092285,57.886562,1142.362793
201,,,,,,,,,,,,,,,,-1542.120117,57.883621,1142.342041
202,,,,,,,,,,,,,,,,-1542.111206,57.896915,1142.334595
203,,,,,,,,,,,,,,,,-1542.136353,57.91362,1142.350708
204,,,,,,,,,,,,,,,,-1542.14209,57.922501,1142.369019
205,,,,,,,,,,,,,,,,-1542.123169,57.908573,1142.357178
206,,,,,,,,,,,,,,,,-1542.134277,57.873291,1142.358398
207,,,,,,,,,,,,,,,,-1542.123657,57.883099,1142.355957
208,,,,,,,,,,,,,,,,-1542.130005,57.889004,1142.35498
209,,,,,,,,,,,,,,,,-1542.14856,57.920006,1142.343262
210,,,,,,,,,,,,,,,,-1542.161743,57.9566,1142.357544
211,,,,,,,,,,,,,,,,-1542.145386,57.937908,1142.367798
212,,,,,,,,,,,,,,,,-1542.141113,57.903034,1142.368042
213,,,,,,,,,,,,,,,,-1542.12146,57.865669,1142.359985
214,,,,,,,,,,,,,,,,-1542.102417,57.866604,1142.349609
215,,,,,,,,,,,,,,,,-1542.137085,57.900047,1142.363159
216,,,,,,,,,,,,,,,,-1542.143311,57.921791,1142.360474
217,,,,,,,,,,,,,,,,-1542.143066,57.915531,1142.358765
218,,,,,,,,,,,,,,,,-1542.13562,57.910172,1142.352295
219,,,,,,,,,,,,,,,,-1542.126831,57.889275,1142.337769
220,,,,,,,,,,,,,,,,-1542.119507,57.889179,1142.345215
221,,,,,,,,,,,,,,,,-1542.140991,57.913071,1142.364258
222,,,,,,,,,,,,,,,,-1542.140137,57.917934,1142.355347
223,,,,,,,,,,,,,,,,-1542.13855,57.924728,1142.369141
224,,,,,,,,,,,,,,,,-1542.128418,57.900482,1142.365479
225,,,,,,,,,,,,,,,,-1542.126099,57.876591,1142.365479
226,,,,,,,,,,,,,,,,-1542.121826,57.86171,1142.348633
227,,,,,,,,,,,,,,,,-1542.107422,57.892948,1142.353027
228,,,,,,,,,,,,,,,,-1542.118896,57.911461,1142.364136
229,,,,,,,,,,,,,,,,-1542.154175,57.946671,1142.372559
230,,,,,,,,,,,,,,,,-1542.14209,57.933025,1142.35376
