Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,hayashide_LThoraxAngles_X,hayashide_LThoraxAngles_Y,hayashide_LThoraxAngles_Z,hayashide_RThoraxAngles_X,hayashide_RThoraxAngles_Y,hayashide_RThoraxAngles_Z,robot_X,robot_Y,robot_Z
208,,,,,,,,,,,,,,,,40.8611,17.1287,19.1387,40.8611,-17.1287,-19.1387,-1537.761597,29.804983,1142.613647
209,,,,,,,,,,,,,,,,41.0505,16.4821,18.2924,41.0505,-16.4821,-18.2924,-1537.744385,29.78882,1142.608398
210,,,,,,,,,,,,,,,,41.3198,16.1891,17.5991,41.3198,-16.1891,-17.5991,-1537.7323,29.800785,1142.605835
211,,,,,,,,,,,,,,,,41.3829,15.3374,16.4076,41.3829,-15.3374,-16.4076,-1537.742798,29.816488,1142.61145
212,,,,,,,,,,,,,,,,41.6031,15.0624,15.5791,41.6031,-15.0624,-15.5791,-1537.795288,29.856785,1142.626465
213,,,,,,,,,,,,,,,,41.5535,14.8701,15.1221,41.5535,-14.8701,-15.1221,-1537.785889,29.862904,1142.617676
214,,,,,,,,,,,,,,,,41.5172,14.8923,14.8334,41.5172,-14.8923,-14.8334,-1537.762329,29.826529,1142.591797
215,,,,,,,,,,,,,,,,41.4985,14.8229,14.4009,41.4985,-14.8229,-14.4009,-1537.738403,29.788,1142.577148
216,,,,,,,,,,,,,,,,41.7081,14.5847,13.8072,41.7081,-14.5847,-13.8072,-1537.731934,29.800781,1142.587402
217,,,,,,,,,,,,,,,,41.8106,14.2435,13.136,41.8106,-14.2435,-13.136,-1537.770752,29.815153,1142.621582
218,,,,,,,,,,,,,,,,41.9287,14.0589,12.5633,41.9287,-14.0589,-12.5633,-1537.782104,29.844305,1142.617188
219,,,,,,,,,,,,,,,,41.968,14.6492,12.6092,41.968,-14.6492,-12.6092,-1537.776489,29.844923,1142.595703
220,,,,,,,,,,,,,,,,42.0056,13.9123,11.5481,42.0056,-13.9123,-11.5481,-1537.771973,29.812069,1142.602661
221,,,,,,,,,,,,,,,,42.0833,14.2412,11.5853,42.0833,-14.2412,-11.5853,-1537.739136,29.801691,1142.588867
222,,,,,,,,,,,,,,,,42.2303,13.4648,10.4169,42.2303,-13.4648,-10.4169,-1537.738037,29.796228,1142.595947
223,,,,,,,,,,,,,,,,42.2861,13.613,10.3299,42.2861,-13.613,-10.3299,-1537.748291,29.817572,1142.617676
224,,,,,,,,,,,,,,,,42.4642,13.3107,9.71378,42.4642,-13.3107,-9.71378,-1537.762329,29.837484,1142.626465
225,,,,,,,,,,,,,,,,42.6766,13.527,9.64101,42.6766,-13.527,-9.64101,-1537.784058,29.860474,1142.62085
226,,,,,,,,,,,,,,,,43.204,12.9,8.73881,43.204,-12.9,-8.73881,-1537.765381,29.850281,1142.585815
227,,,,,,,,,,,,,,,,43.6385,13.1263,8.72995,43.6385,-13.1263,-8.72995,-1537.76001,29.822094,1142.59082
228,,,,,,,,,,,,,,,,44.4338,12.7768,8.27716,44.4338,-12.7768,-8.27716,-1537.744019,29.800608,1142.604248
229,,,,,,,,,,,,,,,,44.8395,11.9853,7.41236,44.8395,-11.9853,-7.41236,-1537.757202,29.813402,1142.609863
230,,,,,,,,,,,,,,,,45.7173,11.7933,7.05576,45.7173,-11.7933,-7.05576,-1537.794189,29.85277,1142.646851
231,,,,,,,,,,,,,,,,46.2927,11.0941,6.31803,46.2927,-11.0941,-6.31803,-1537.802368,29.852171,1142.629517
232,,,,,,,,,,,,,,,,46.9684,10.6502,5.6678,46.9684,-10.6502,-5.6678,-1537.766724,29.855806,1142.60376
233,,,,,,,,,,,,,,,,47.6,10.0562,4.75113,47.6,-10.0562,-4.75113,-1537.76355,29.837959,1142.597534
234,,,,,,,,,,,,,,,,48.1882,10.2726,4.28504,48.1882,-10.2726,-4.28504,-1537.732666,29.800184,1142.596191
235,,,,,,,,,,,,,,,,48.5594,9.65025,3.35571,48.5594,-9.65025,-3.35571,-1537.727661,29.814901,1142.61499
236,,,,,,,,,,,,,,,,48.9791,8.8897,2.26803,48.9791,-8.8897,-2.26803,-1537.74292,29.814407,1142.63269
237,,,,,,,,,,,,,,,,49.482,8.77628,1.91734,49.482,-8.77628,-1.91734,-1537.795288,29.852093,1142.643921
238,,,,,,,,,,,,,,,,49.9499,8.17914,1.21021,49.9499,-8.17914,-1.21021,-1537.80896,29.840563,1142.608032
239,,,,,,,,,,,,,,,,50.4085,7.3682,0.381748,50.4085,-7.3682,-0.381748,-1537.786499,29.81539,1142.602417
240,,,,,,,,,,,,,,,,50.7919,7.11288,0.266096,50.7919,-7.11288,-0.266096,-1537.744019,29.799583,1142.587402
241,,,,,,,,,,,,,,,,51.1802,6.37528,-0.509962,51.1802,-6.37528,0.509962,-1537.748169,29.786289,1142.619019
242,,,,,,,,,,,,,,,,51.6998,6.38827,-0.460356,51.6998,-6.38827,0.460356,-1537.76123,29.813965,1142.633667
